loss,experiment,projector,iteration,top_score_classification_accuracy,class_consistency_loss,_binary_crossentropy
0.5690631106856296,l1_triplet_loss,dense_128,1.0,0.4602363705635071,,
0.26686387485684604,l1_triplet_loss,dense_128,2.0,0.4471153914928436,,
0.3400690768793515,l1_triplet_loss,dense_128,3.0,0.4305889308452606,,
0.27729579562247425,l1_triplet_loss,dense_128,4.0,0.4505208432674408,,
0.4836934813370485,l1_triplet_loss,dense_128,5.0,0.4521234035491944,,
0.32390219980795965,l1_triplet_loss,dense_128,6.0,0.4596354067325592,,
0.3366483885011593,l1_triplet_loss,dense_128,7.0,0.4477163553237915,,
0.2975109866620012,l1_triplet_loss,dense_128,8.0,0.4525240361690521,,
0.3517036219119548,l1_triplet_loss,dense_128,9.0,0.4358974397182465,,
0.036851148132998966,cosine_similarity_triplet_loss,,0.0,0.7383813858032227,,
